"wins","base_hits","singles","doubles","triples","homeruns","walks","b_strikeouts","stolen_bases","hits_allowed","homeruns_allowed","walks_allowed","p_strikeouts","errors","double_plays"
61,1404,1027,218,20,139,537,876,82,1404,139,537,876,175,127
69,1313,960,191,39,123,550,874,90,1313,123,550,874,153,126
67,1406,1027,223,28,128,496,828,99,1424,130,502,838,185,141
82,1360,966,227,22,145,437,905,73,1368,146,440,911,163,157
76,1354,996,226,34,98,491,825,150,2069,150,750,1261,156,142
89,1411,1028,215,22,146,554,869,151,1411,146,554,869,137,186
88,1489,1096,218,45,130,582,847,146,1489,130,582,847,137,176
80,1338,966,234,27,111,555,896,140,1338,111,555,896,139,153
66,1359,992,213,28,126,553,849,72,1359,126,553,849,159,197
72,1356,951,242,24,139,541,910,94,1364,140,544,916,142,182
69,1410,947,286,24,153,645,839,136,1419,154,649,844,117,171
55,1335,979,231,28,97,437,859,96,1352,98,442,870,153,140
65,1376,925,263,26,162,473,1010,92,1376,162,473,1010,158,133
94,1407,981,255,30,141,563,906,165,1407,141,563,906,138,122
98,1391,982,223,48,138,493,924,126,1391,138,493,924,109,121
104,1444,1007,239,29,169,560,946,125,1444,169,560,946,108,146
97,1465,963,281,26,195,536,949,68,2060,277,762,1349,115,121
101,1352,897,236,30,189,585,1050,82,1521,213,658,1181,113,127
96,1514,1025,264,28,197,530,1032,83,1514,197,530,1032,130,143
101,1490,1011,268,37,174,597,1160,108,1490,174,597,1160,114,136
106,1489,951,297,26,215,548,1062,98,1489,215,548,1062,91,139
103,1481,952,309,23,197,608,962,148,1481,197,608,962,111,122
95,1490,1011,274,26,179,595,1010,148,1490,179,595,1010,129,138
88,1432,971,263,24,174,493,1039,85,1432,174,493,1039,103,133
101,1608,1021,321,31,235,545,933,68,1608,235,545,933,121,166
96,1503,984,304,37,178,587,1158,86,1503,178,587,1158,116,171
90,1453,924,308,37,184,534,1084,92,1453,184,534,1084,86,170
79,1510,950,312,26,222,526,1169,52,1510,222,526,1169,99,146
57,1478,1142,227,78,31,384,454,208,1748,37,454,537,335,125
93,1494,1138,248,73,35,444,390,163,1780,42,529,465,326,145
76,1320,1034,193,79,14,316,628,118,1538,16,368,732,312,110
69,1349,1119,163,56,11,354,649,160,1438,12,377,692,285,83
83,1353,1108,158,65,22,398,550,240,1471,24,433,543,314,87
74,1411,1169,164,67,11,394,457,153,1504,12,420,400,284,103
88,1344,1084,184,55,21,366,634,134,1432,22,390,735,253,103
66,1243,1058,125,49,11,357,494,147,1342,12,386,561,288,116
49,1162,948,138,63,13,437,596,178,1222,14,460,630,405,119
48,1270,986,199,67,18,490,606,133,1354,19,522,528,382,111
56,1328,1058,175,75,20,472,581,185,1397,21,497,654,358,134
60,1263,977,190,77,19,482,814,221,1337,20,510,862,319,132
75,1314,1021,196,79,18,448,914,247,1391,19,474,968,336,121
66,1320,1057,175,68,20,497,805,212,1389,21,523,847,353,151
83,1328,1070,190,53,15,660,673,246,1397,16,694,708,261,126
60,1315,1040,193,66,16,426,568,165,1383,17,448,598,296,146
77,1381,1119,202,53,7,527,451,183,1834,9,700,599,252,114
78,1438,1099,218,85,36,456,516,86,1676,42,531,601,249,114
80,1748,1312,295,88,53,452,359,125,1851,56,479,380,245,126
85,1741,1300,259,112,70,434,428,97,1831,74,457,450,236,134
98,1767,1273,306,99,103,498,401,139,1874,108,524,422,206,166
79,1587,1170,264,66,87,471,451,68,1691,93,502,481,188,155
79,1645,1224,284,66,71,496,372,91,1753,76,529,396,188,150
65,1524,1100,266,82,76,460,489,65,1603,80,484,514,240,176
62,1525,1128,277,62,58,469,445,96,1615,61,497,471,263,176
86,1505,1069,290,80,66,576,504,80,1583,69,606,530,194,154
67,1489,1036,304,70,79,523,579,98,1566,83,550,609,199,160
66,1531,1084,302,65,80,513,610,77,1611,84,540,642,243,168
66,1580,1149,288,73,70,533,555,73,1662,74,561,584,197,164
59,1434,1034,262,69,69,558,597,77,1538,74,599,640,161,174
71,1510,1112,269,63,66,548,673,46,1609,70,584,717,199,171
69,1541,1099,310,54,78,632,598,48,1642,83,674,637,198,147
61,1601,1128,319,70,84,666,668,66,1706,90,710,712,200,152
48,1655,1190,344,46,75,541,536,32,1741,79,569,564,183,175
45,1528,1124,255,53,96,588,637,50,1607,101,619,670,209,151
70,1497,1020,292,61,124,585,675,54,1575,130,615,710,166,188
74,1515,1062,296,61,96,815,581,53,1594,101,797,611,159,164
77,1352,987,244,38,83,606,689,39,1441,88,646,734,162,135
94,1397,1039,235,47,76,559,635,46,1470,80,588,668,180,149
87,1397,1058,231,40,68,536,595,27,1499,73,575,638,153,132
69,1420,1053,231,48,88,489,750,24,1494,93,514,789,167,165
62,1302,953,199,55,95,613,698,73,1370,100,645,734,141,178
62,1523,1124,266,66,67,612,606,67,1613,71,648,642,178,201
56,1369,990,224,32,123,664,736,40,1440,129,698,774,174,162
61,1335,931,247,45,112,726,783,41,1404,118,764,824,206,163
55,1355,981,235,49,90,548,729,37,1425,95,576,767,180,188
67,1410,1039,237,48,86,568,757,32,1483,90,598,796,163,185
57,1377,1065,205,52,55,492,667,32,1449,58,518,702,155,160
60,1329,1045,186,41,57,589,781,36,1398,60,620,822,170,167
73,1307,967,208,36,96,592,763,41,1375,101,623,803,140,149
81,1413,1074,204,42,93,537,745,61,1506,99,572,794,116,169
78,1306,966,206,20,114,511,774,35,1383,121,541,820,121,168
78,1304,974,191,24,115,564,726,38,1372,121,593,764,155,171
94,1375,994,217,35,129,627,843,39,1446,136,660,887,113,181
95,1393,981,227,36,149,581,902,39,1393,149,581,902,126,173
77,1363,948,225,34,156,516,931,45,1363,156,516,931,122,152
86,1359,974,207,32,146,469,940,97,1359,146,469,940,99,157
97,1357,946,229,20,162,537,1019,78,1357,162,537,1019,95,159
94,1299,909,227,38,125,529,907,67,1299,125,529,907,126,152
98,1444,986,246,35,177,520,938,56,1462,179,527,950,116,144
76,1320,921,216,44,139,534,1008,54,1328,140,537,1014,125,145
91,1187,811,215,28,133,570,1019,78,1187,133,570,1019,120,131
109,1465,1027,234,29,175,634,806,82,1465,175,634,806,101,145
108,1424,1007,213,25,179,717,952,84,1424,179,717,952,117,148
104,1417,1017,212,26,162,689,865,68,1453,166,706,887,115,152
84,1213,874,203,31,105,533,984,82,1276,110,561,1035,105,158
97,1474,1078,229,48,119,648,752,146,1474,119,648,752,119,184
91,1418,1049,226,27,116,509,770,145,1418,116,509,770,128,174
92,1408,1020,228,34,126,591,850,106,1435,128,602,866,109,178
88,1326,966,213,28,119,519,883,150,1326,119,519,883,118,157
98,1442,1036,232,25,149,563,951,91,1451,150,566,957,107,190
91,1406,982,250,19,155,555,869,75,1415,156,558,874,111,167
104,1427,956,263,24,184,619,863,101,1454,187,631,879,127,164
100,1523,1080,258,29,156,587,766,111,1523,156,587,766,95,178
91,1362,954,255,17,136,623,700,63,1889,210,762,1080,105,176
94,1478,1013,259,27,179,634,796,49,1478,179,634,796,101,140
98,1492,1014,283,27,168,601,800,61,1492,168,601,800,121,159
85,1374,957,234,23,160,620,884,51,1374,160,620,884,123,166
84,1460,988,235,22,215,608,914,69,1469,216,612,920,116,169
73,1425,1020,223,13,169,563,862,64,1425,169,563,862,135,163
67,1437,987,219,20,211,524,939,69,1437,211,524,939,109,174
54,1283,925,200,20,138,507,874,69,1291,139,510,879,119,173
87,1369,969,238,33,129,593,957,118,1369,129,593,957,87,163
76,1336,946,235,22,133,664,968,95,1344,134,668,974,92,152
67,1421,966,256,29,170,528,974,50,1421,170,528,974,89,172
89,1423,996,243,36,148,647,827,89,1423,148,647,827,93,168
85,1470,1002,287,24,157,655,930,73,1470,157,655,930,100,171
91,1514,1016,268,29,201,634,947,100,2009,291,802,1370,82,149
80,1425,942,258,30,195,646,903,104,1603,219,727,1016,81,159
88,1557,972,299,29,257,645,915,76,1557,257,645,915,97,173
98,1498,1016,264,22,196,586,952,63,1498,196,586,952,97,148
79,1520,992,303,11,214,593,903,86,1520,214,593,903,81,144
78,1572,1049,299,21,203,615,890,107,1572,203,615,890,89,192
74,1508,992,310,22,184,558,900,126,1508,184,558,900,116,151
63,1367,942,264,24,137,517,995,134,1375,138,520,1001,126,138
67,1353,850,311,27,165,452,993,110,1353,165,452,993,91,173
78,1614,1108,319,18,169,528,949,101,1614,169,528,949,110,161
74,1492,980,296,27,189,447,902,83,1492,189,447,902,107,154
44,1533,1208,221,79,25,664,450,196,1881,31,747,552,428,81
86,1356,1046,190,79,41,461,816,245,1455,44,495,875,260,117
79,1344,1023,206,72,43,448,626,196,1432,46,477,667,247,119
105,1758,1332,282,105,42,81,84,105,2069,126,277,252,181,100
98,1758,1268,344,113,35,116,72,61,2068,101,336,208,245,115
42,1187,992,133,53,9,160,477,206,2014,20,355,1059,361,91
47,1468,1166,211,83,8,273,559,278,2073,14,461,943,428,88
96,1369,989,203,128,49,322,833,158,2073,75,492,1273,268,52
61,1244,947,184,88,25,415,786,245,1849,37,617,1168,393,91
59,1169,943,153,63,10,469,746,39,1446,12,580,923,227,127
92,1604,1205,242,120,37,563,401,144,1925,44,676,481,186,104
67,1263,966,192,83,22,352,566,113,1493,26,416,669,261,97
84,1451,1159,186,82,24,502,643,158,1741,29,602,772,314,79
71,1325,1077,162,76,10,596,724,226,1938,48,802,1095,288,86
85,1460,1135,170,119,36,661,664,241,1752,43,793,797,349,97
51,1479,1148,176,122,33,550,529,250,1630,36,606,583,430,79
75,1596,1251,204,107,34,669,403,290,1989,42,766,502,430,92
113,1429,865,343,190,42,653,253,226,1672,53,747,320,371,108
108,1545,1114,293,111,31,442,303,158,1799,39,551,378,359,98
113,1555,1142,260,126,29,485,252,272,1850,36,609,316,372,112
112,1601,1195,303,82,24,545,319,278,2023,30,679,398,345,83
104,1722,1336,167,84,13,564,344,272,1872,14,613,374,354,123
94,1652,1332,223,78,19,458,419,245,1808,21,501,459,337,121
88,1445,1107,234,70,34,512,620,160,1520,36,539,652,272,110
49,1299,999,206,56,38,494,674,135,1366,40,520,709,287,147
89,1469,1172,231,40,26,222,1006,307,2055,40,343,1386,233,104
108,1758,1166,378,200,16,324,103,221,2073,86,587,556,264,91
134,1764,1245,393,107,24,97,90,162,2009,83,334,310,106,135
118,1768,1230,376,126,36,170,66,107,2069,99,467,181,325,112
120,1767,1295,301,132,42,74,0,160,2009,97,336,362,288,104
146,1761,1298,322,111,29,64,0,224,2060,59,277,310,259,83
94,1612,1226,218,124,44,394,336,187,1920,52,469,400,392,124
91,1603,1210,231,112,50,325,443,156,1896,59,384,524,302,119
107,1568,1118,261,133,56,308,659,166,1841,66,362,774,276,101
100,1361,1020,204,110,27,365,600,106,1432,28,384,631,248,87
83,1257,976,176,74,31,518,527,140,1340,33,552,499,309,80
52,1287,1026,168,79,14,313,548,104,1354,15,329,444,350,88
64,1331,1092,167,52,20,332,543,136,1447,22,361,584,292,112
79,1303,1072,123,93,15,304,507,176,1371,16,320,464,311,75
94,1402,1145,162,74,21,373,483,231,1504,23,400,464,312,102
86,1429,1106,185,92,46,455,656,205,1513,49,482,612,326,85
83,1460,1138,215,70,37,536,979,201,1546,39,568,939,341,98
112,1496,1088,287,90,31,602,603,197,1594,33,642,633,284,94
85,1441,1076,238,109,18,503,577,204,1556,19,543,623,257,91
96,1353,1005,239,90,19,519,581,187,1433,20,550,615,256,105
108,1403,1089,217,82,15,565,511,127,1505,16,606,548,242,102
96,1311,1030,207,59,15,488,507,136,1379,16,513,533,193,114
96,1325,1031,211,68,15,497,504,112,1412,16,530,537,195,124
96,1273,981,204,69,19,522,417,141,1637,24,671,536,195,114
78,1405,1094,214,58,39,557,486,128,1661,46,659,575,169,140
76,1479,1152,229,75,23,564,454,104,1566,24,597,481,194,139
79,1515,1163,261,73,18,450,362,87,1594,19,473,381,165,159
65,1443,1079,270,58,36,417,512,82,1538,38,444,546,247,134
50,1465,1079,274,68,44,547,450,45,1561,47,583,480,282,160
49,1403,1048,264,57,34,492,476,51,1486,36,521,504,193,151
54,1418,1022,285,82,29,452,480,86,1492,31,475,505,234,170
60,1436,1055,275,66,40,412,542,105,1520,42,436,574,182,147
61,1449,1047,300,73,29,434,520,89,1524,31,457,547,229,167
55,1465,1074,270,72,49,377,581,44,1541,52,397,611,204,169
45,1400,1018,266,60,56,493,567,48,1473,59,519,596,243,174
68,1530,1095,320,61,54,571,504,63,1663,59,621,548,224,145
81,1561,1126,306,75,54,650,570,124,1664,58,693,608,201,150
83,1544,1106,298,67,73,645,498,96,1635,77,683,527,201,144
78,1562,1104,303,65,90,614,489,58,1643,95,646,514,170,146
85,1605,1143,287,68,107,641,594,84,1711,114,683,633,187,148
96,1703,1211,324,61,107,707,503,60,1852,116,769,547,203,187
95,1655,1153,308,61,133,634,542,45,1776,143,680,581,192,158
86,1647,1093,317,84,153,621,628,58,1733,161,653,661,182,164
72,1400,1056,238,45,61,518,630,92,1492,65,552,671,163,191
81,1532,1109,291,59,73,549,531,63,1612,77,578,559,181,162
75,1465,1129,237,46,53,569,562,76,1541,56,599,591,177,208
87,1485,1103,217,57,108,701,621,43,1562,114,737,653,144,181
100,1537,1079,290,42,126,860,577,40,1606,132,778,603,121,182
101,1578,1116,286,38,138,878,536,45,1660,145,797,564,126,218
99,1751,1216,302,64,169,756,612,34,1842,178,795,644,117,190
92,1502,1089,245,34,134,795,625,21,1580,141,778,657,145,194
80,1408,1008,245,36,119,570,777,62,1481,125,600,817,150,190
89,1466,1050,270,39,107,525,636,35,1552,113,556,673,156,183
73,1511,1082,257,43,129,688,694,54,1589,136,724,730,185,171
88,1464,1025,254,41,144,744,771,45,1540,151,783,811,143,147
86,1452,1014,243,34,161,656,777,31,1527,169,690,817,157,188
83,1404,968,241,32,163,671,863,31,1477,171,706,908,153,181
79,1404,983,261,29,131,659,852,72,1477,138,693,896,137,176
68,1430,1020,246,34,130,600,839,36,1504,137,631,883,147,164
76,1401,1001,251,37,112,647,847,56,1401,112,647,847,143,140
76,1412,957,249,34,172,478,960,27,1421,173,481,966,133,120
72,1425,957,253,29,186,504,917,18,1425,186,504,917,136,123
62,1378,929,244,40,165,607,964,47,1378,165,607,964,159,129
72,1318,901,228,44,145,542,1020,35,1318,145,542,1020,153,153
92,1394,981,216,39,158,522,1020,68,1394,158,522,1020,142,142
86,1253,904,207,17,125,582,974,76,1253,125,582,974,128,147
87,1381,913,234,37,197,658,923,41,1381,197,658,923,157,178
85,1360,925,246,28,161,552,871,51,1360,161,552,871,116,149
89,1472,1060,235,30,147,581,799,114,1472,147,581,799,127,162
84,1449,1073,236,31,109,569,811,104,1449,109,569,811,145,156
96,1519,1050,288,45,136,572,750,67,1538,138,579,759,137,144
83,1448,1004,257,53,134,500,832,95,1448,134,500,832,139,148
98,1484,999,268,46,171,578,830,74,1475,170,574,825,145,170
92,1587,1043,314,34,196,518,717,61,1607,198,524,726,144,168
84,1608,1107,301,36,164,481,729,80,1628,166,487,738,151,209
89,1536,1098,271,31,136,547,736,42,1536,136,547,736,121,172
78,1512,1051,287,32,142,536,758,30,1512,142,536,758,130,168
81,1615,1130,292,31,162,562,816,66,1615,162,562,816,145,161
78,1554,1081,273,26,174,606,825,77,1554,174,606,825,110,158
83,1571,1107,326,30,108,643,755,56,1571,108,643,755,127,162
88,1502,1067,298,31,106,598,795,53,1502,106,598,795,123,154
84,1486,1030,305,25,126,593,820,59,1486,126,593,820,116,165
73,1343,979,259,21,84,591,865,44,1343,84,591,865,139,170
80,1451,989,319,29,114,508,871,73,1451,114,508,871,122,155
76,1462,953,313,27,169,569,1018,114,2060,238,802,1434,114,175
97,1574,1020,322,35,197,630,1038,111,1771,222,709,1168,135,170
85,1631,1083,308,31,209,642,1020,91,1631,209,642,1020,135,152
78,1684,1094,373,32,185,514,1044,68,1684,185,514,1044,136,179
92,1568,990,338,35,205,541,1049,72,1568,205,541,1049,105,128
94,1551,999,334,42,176,597,928,67,1551,176,597,928,127,131
85,1503,988,316,32,167,611,1019,43,1503,167,611,1019,109,120
83,1502,956,318,29,199,523,1138,46,1511,200,526,1145,114,130
93,1560,1002,348,33,177,545,944,80,1560,177,545,944,104,140
95,1667,1018,371,40,238,620,943,88,1667,238,620,943,113,130
98,1613,993,373,25,222,659,1189,68,1613,222,659,1189,118,129
95,1579,1020,339,21,199,653,1044,45,1579,199,653,1044,109,135
86,1510,975,327,16,192,672,1056,51,1510,192,672,1056,66,174
39,1620,1331,201,44,0,83,105,74,2060,0,363,460,375,131
51,1764,1333,180,81,18,159,129,54,2009,54,477,387,401,64
65,1464,1282,147,32,3,94,0,160,2059,9,277,387,432,88
86,1379,1053,250,48,28,190,1170,307,2050,42,282,1481,261,104
43,1258,970,190,77,21,537,746,298,2059,34,747,1221,366,94
102,1640,1197,280,95,68,819,546,298,2060,85,797,686,288,86
81,1475,1105,237,89,44,425,700,231,1552,46,447,736,297,126
75,1437,1101,218,80,38,504,697,265,1532,41,537,743,304,110
96,1522,1188,218,112,4,162,652,54,2068,8,336,1354,148,129
47,1322,1038,205,73,6,178,646,105,2069,12,352,1276,215,109
88,1556,1129,306,98,23,211,527,293,2060,45,412,1029,276,94
87,1655,1247,282,91,35,224,440,211,2069,68,432,849,288,81
87,1767,1336,307,99,13,246,571,107,2073,22,411,954,261,98
93,1604,1208,238,101,57,314,668,321,2069,83,458,975,268,97
55,1418,1097,216,72,33,259,550,193,2051,48,375,796,407,71
93,1662,1278,228,114,42,616,453,241,2040,52,756,556,406,94
53,1426,1100,169,132,25,224,685,263,2040,42,374,1144,367,88
104,1352,987,161,144,60,294,606,241,2028,90,441,909,432,97
53,1316,1022,229,57,8,73,423,259,2069,16,363,836,406,83
91,1400,1035,251,100,14,147,457,264,2040,27,284,881,264,100
69,1535,1215,231,75,14,255,432,307,2060,27,492,833,311,131
83,1415,1021,275,79,40,241,516,259,2060,79,476,1019,231,140
92,1423,1040,307,63,13,232,625,224,2059,22,387,1044,209,102
51,1351,1044,213,71,23,246,833,293,1954,33,356,1205,354,94
23,1458,1203,220,35,0,93,0,206,2060,0,334,407,318,127
56,1764,1300,196,223,39,145,140,101,2068,218,810,782,318,74
44,1655,1331,272,44,0,125,96,88,2068,0,317,707,209,190
128,1767,1326,322,79,20,172,110,231,2068,49,422,270,249,81
71,1738,1326,217,82,0,157,305,173,2060,0,431,837,270,118
